"","number","time","position","race_id","athlete_id","world_athletics_id","birth","nationality","sex","active_seasons","temperature","humidity","conditions","competition","stadium_id","round","event","name","final_position","color","Reference Bit","Critical Speed (m/s)","Work Capacity (m)","R2","velocity","w_r","rel_w_r"
"1",1,14,2,1,12,15092355,"1998-08-10T00:00:00.000Z","KEN","MALE"," 2024 2023","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Brian Komen",12,"#A2A2A2",1,5.20403456814099,370.564068796427,0.937116524857989,7.14285714285714,343.4205527504,0.926750814955732
"2",2,13.4,2,1,12,15092355,"1998-08-10T00:00:00.000Z","KEN","MALE"," 2024 2023","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Brian Komen",12,"#A2A2A2",1,5.20403456814099,370.564068796427,0.937116524857989,7.46268656716418,313.15461596349,0.845075500656607
"3",3,13.7,2,1,12,15092355,"1998-08-10T00:00:00.000Z","KEN","MALE"," 2024 2023","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Brian Komen",12,"#A2A2A2",1,5.20403456814099,370.564068796427,0.937116524857989,7.2992700729927,284.449889547021,0.767613250984911
"4",4,13.8,2,1,12,15092355,"1998-08-10T00:00:00.000Z","KEN","MALE"," 2024 2023","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Brian Komen",12,"#A2A2A2",1,5.20403456814099,370.564068796427,0.937116524857989,7.2463768115942,256.265566587367,0.691555356189025
"5",5,14.1,2,1,12,15092355,"1998-08-10T00:00:00.000Z","KEN","MALE"," 2024 2023","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Brian Komen",12,"#A2A2A2",0,5.20403456814099,370.564068796427,0.937116524857989,7.09219858156028,229.642453998155,0.619710526020567
"6",6,14.1,2,1,12,15092355,"1998-08-10T00:00:00.000Z","KEN","MALE"," 2024 2023","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Brian Komen",12,"#A2A2A2",0,5.20403456814099,370.564068796427,0.937116524857989,7.09219858156028,203.019341408943,0.547865695852109
"7",7,14.3,2,1,12,15092355,"1998-08-10T00:00:00.000Z","KEN","MALE"," 2024 2023","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Brian Komen",12,"#A2A2A2",0,5.20403456814099,370.564068796427,0.937116524857989,6.99300699300699,177.437035733359,0.47882957543527
"8",8,14.2,2,1,12,15092355,"1998-08-10T00:00:00.000Z","KEN","MALE"," 2024 2023","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Brian Komen",12,"#A2A2A2",0,5.20403456814099,370.564068796427,0.937116524857989,7.04225352112676,151.334326600961,0.408389100142621
"9",9,14.8,5,1,12,15092355,"1998-08-10T00:00:00.000Z","KEN","MALE"," 2024 2023","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Brian Komen",12,"#A2A2A2",0,5.20403456814099,370.564068796427,0.937116524857989,6.75675675675676,128.354038209448,0.346374754104831
"10",10,15,9,1,12,15092355,"1998-08-10T00:00:00.000Z","KEN","MALE"," 2024 2023","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Brian Komen",12,"#A2A2A2",0,5.20403456814099,370.564068796427,0.937116524857989,6.66666666666667,106.414556731563,0.287169117818659
"11",11,14.7,12,1,12,15092355,"1998-08-10T00:00:00.000Z","KEN","MALE"," 2024 2023","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Brian Komen",12,"#A2A2A2",0,5.20403456814099,370.564068796427,0.937116524857989,6.80272108843537,82.9138648832352,0.223750416905058
"12",12,14.4,12,1,12,15092355,"1998-08-10T00:00:00.000Z","KEN","MALE"," 2024 2023","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Brian Komen",12,"#A2A2A2",0,5.20403456814099,370.564068796427,0.937116524857989,6.94444444444444,57.8519626644654,0.156118651364029
"13",13,14.1,12,1,12,15092355,"1998-08-10T00:00:00.000Z","KEN","MALE"," 2024 2023","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Brian Komen",12,"#A2A2A2",0,5.20403456814099,370.564068796427,0.937116524857989,7.09219858156028,31.2288500752534,0.0842738211955711
"14",14,14.9,12,1,12,15092355,"1998-08-10T00:00:00.000Z","KEN","MALE"," 2024 2023","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Brian Komen",12,"#A2A2A2",0,5.20403456814099,370.564068796427,0.937116524857989,6.71140939597315,8.76896514055413,0.0236638300335898
"15",15,16,12,1,12,15092355,"1998-08-10T00:00:00.000Z","KEN","MALE"," 2024 2023","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Brian Komen",12,"#A2A2A2",0,5.20403456814099,370.564068796427,0.937116524857989,6.25,-7.96648176919003,-0.0214982574944861
"16",1,14.5,9,1,1,14905834,"2001-06-06T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021 2020 2019","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Cole Hocker",1,"#FFD700",0,5.93751493180953,203.389266607739,0.997612726009812,6.89655172413793,189.483233118977,0.931628479119396
"17",2,14,9,1,1,14905834,"2001-06-06T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021 2020 2019","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Cole Hocker",1,"#FFD700",1,5.93751493180953,203.389266607739,0.997612726009812,7.14285714285714,172.608442164311,0.84866052689598
"18",3,13.5,9,1,1,14905834,"2001-06-06T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021 2020 2019","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Cole Hocker",1,"#FFD700",1,5.93751493180953,203.389266607739,0.997612726009812,7.40740740740741,152.76489374374,0.751096143329752
"19",4,13.6,7,1,1,14905834,"2001-06-06T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021 2020 2019","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Cole Hocker",1,"#FFD700",1,5.93751493180953,203.389266607739,0.997612726009812,7.35294117647059,133.515096816349,0.656451046032086
"20",5,14,7,1,1,14905834,"2001-06-06T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021 2020 2019","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Cole Hocker",1,"#FFD700",1,5.93751493180953,203.389266607739,0.997612726009812,7.14285714285714,116.640305861683,0.57348309380867
"21",6,14,7,1,1,14905834,"2001-06-06T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021 2020 2019","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Cole Hocker",1,"#FFD700",1,5.93751493180953,203.389266607739,0.997612726009812,7.14285714285714,99.7655149070161,0.490515141585254
"22",7,14.4,7,1,1,14905834,"2001-06-06T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021 2020 2019","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Cole Hocker",1,"#FFD700",0,5.93751493180953,203.389266607739,0.997612726009812,6.94444444444444,85.2657299250734,0.419224334436087
"23",8,14.2,7,1,1,14905834,"2001-06-06T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021 2020 2019","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Cole Hocker",1,"#FFD700",0,5.93751493180953,203.389266607739,0.997612726009812,7.04225352112676,69.5784419567687,0.342094954749796
