"","race","competition","date","disciplineCode","mark","Name"
"1","H3","U.S. Olympic Team Trials","2024-06-21T00:00:00.000Z","1500","3:34.54","Cole Hocker"
"2","SF1","U.S. Olympic Team Trials","2024-06-22T00:00:00.000Z","1500","3:37.89","Cole Hocker"
"3","F","U.S. Olympic Team Trials","2024-06-24T00:00:00.000Z","1500","3:30.59","Cole Hocker"
"4","H2","The XXXIII Olympic Games","2024-08-02T00:00:00.000Z","1500","3:35.27","Cole Hocker"
"5","SF1","The XXXIII Olympic Games","2024-08-04T00:00:00.000Z","1500","3:32.54","Cole Hocker"
"6","F","The XXXIII Olympic Games","2024-08-06T00:00:00.000Z","1500","3:27.65","Cole Hocker"
"7","F","Athletissima Lausanne","2024-08-22T00:00:00.000Z","1500","3:29.85","Cole Hocker"
"8","F","Weltklasse Zürich","2024-09-05T00:00:00.000Z","1500","3:30.46","Cole Hocker"
"9","F","Memorial van Damme","2024-09-13T00:00:00.000Z","1500","3:30.94","Cole Hocker"
"10","F","USA Indoor Championships","2024-02-17T00:00:00.000Z","1500","3:37.51","Cole Hocker"
"11","H1","World Athletics Indoor Championships","2024-03-01T00:00:00.000Z","1500","3:39.32","Cole Hocker"
"12","F","World Athletics Indoor Championships","2024-03-03T00:00:00.000Z","1500","3:36.69","Cole Hocker"
"13","H3","World Athletics Championships","2023-08-19T00:00:00.000Z","1500","3:34.43","Cole Hocker"
"14","SF2","World Athletics Championships","2023-08-20T00:00:00.000Z","1500","3:35.23","Cole Hocker"
"15","F","World Athletics Championships","2023-08-23T00:00:00.000Z","1500","3:30.70","Cole Hocker"
"16","F","Weltklasse Zürich","2023-08-31T00:00:00.000Z","1500","3:32.00","Cole Hocker"
"17","H1","The XXXIII Olympic Games","2024-08-02T00:00:00.000Z","1500","3:35.83","Josh Kerr"
"18","SF1","The XXXIII Olympic Games","2024-08-04T00:00:00.000Z","1500","3:32.46","Josh Kerr"
"19","F","The XXXIII Olympic Games","2024-08-06T00:00:00.000Z","1500","3:27.79","Josh Kerr"
"20","F","Weltklasse Zürich","2024-09-05T00:00:00.000Z","1500","3:31.46","Josh Kerr"
"21","H1","World Athletics Championships","2023-08-19T00:00:00.000Z","1500","3:34.00","Josh Kerr"
"22","SF2","World Athletics Championships","2023-08-20T00:00:00.000Z","1500","3:35.14","Josh Kerr"
"23","F","World Athletics Championships","2023-08-23T00:00:00.000Z","1500","3:29.38","Josh Kerr"
"24","F","Weltklasse Zürich","2023-08-31T00:00:00.000Z","1500","3:30.51","Josh Kerr"
"25","H2","U.S. Olympic Team Trials","2024-06-21T00:00:00.000Z","1500","3:37.61","Yared Nuguse"
"26","SF2","U.S. Olympic Team Trials","2024-06-22T00:00:00.000Z","1500","3:34.09","Yared Nuguse"
"27","F","U.S. Olympic Team Trials","2024-06-24T00:00:00.000Z","1500","3:30.86","Yared Nuguse"
"28","F","Herculis Meeting International d’Athlétisme EBS","2024-07-12T00:00:00.000Z","1500","3:29.13","Yared Nuguse"
"29","H1","The XXXIII Olympic Games","2024-08-02T00:00:00.000Z","1500","3:36.56","Yared Nuguse"
